2018-12-17 18:04:31 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '27.191.234.69', 'port': '9999', 'protocol': 2, 'nick_type': 0, 'speed': 0.4, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:32 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '122.139.173.16', 'port': '8060', 'protocol': 0, 'nick_type': -1, 'speed': 2.73, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:33 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '119.190.144.147', 'port': '8060', 'protocol': 0, 'nick_type': -1, 'speed': 0.84, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:33 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '14.117.178.159', 'port': '808', 'protocol': 2, 'nick_type': 0, 'speed': 5.58, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:34 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '182.46.196.118', 'port': '8118', 'protocol': 0, 'nick_type': -1, 'speed': 0.7, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:34 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '222.173.90.162', 'port': '8060', 'protocol': 0, 'nick_type': -1, 'speed': 1.6, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:35 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '209.97.189.102', 'port': '3128', 'protocol': 2, 'nick_type': 0, 'speed': 1.73, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:35 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '175.11.194.21', 'port': '8118', 'protocol': 0, 'nick_type': -1, 'speed': 1.08, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:35 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '14.118.135.10', 'port': '808', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 49, 'disable_domains': []}
2018-12-17 18:04:36 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '182.146.203.217', 'port': '8118', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 49, 'disable_domains': []}
2018-12-17 18:04:36 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '123.185.220.98', 'port': '8118', 'protocol': 0, 'nick_type': -1, 'speed': 0.64, 'area': None, 'score': 50, 'disable_domains': []}
